seq,timestamp_pc_us,timestamp_pc_iso,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_acc,j2_acc,j3_acc,j4_acc,j5_acc,j6_acc,command_sent
0,1768258617340210,2026-01-12T22:56:57.340214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,"<0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000>"
1,1768258617390479,2026-01-12T22:56:57.390484,2.3049096066504287e-08,0.0046519001446231265,-0.0057282286101480034,-2.7447782373202625e-07,0.00999999999999999,-4.274476094345237e-07,4.609819213300851e-07,0.0930380028924624,-0.11456457220295992,-5.489556474640518e-06,0.19999999999999954,-8.548952188690463e-06,4.6098192132999475e-06,0.930380028924436,-1.1456457220293745,-5.4895564746393715e-05,1.9999999999995837,-8.548952188688784e-05,"<1,0.0000,0.0047,-0.0057,-0.0000,0.0100,-0.0000>"
2,1768258617440775,2026-01-12T22:56:57.440779,9.219638426601688e-08,0.018607600578492454,-0.022912914440591948,-1.097911294928102e-06,0.03999999999999985,-1.70979043773809e-06,9.219638426601624e-07,0.18607600578492323,-0.2291291444059179,-1.0979112949280943e-05,0.3999999999999957,-1.709790437738078e-05,4.609819213296308e-06,0.9303800289236948,-1.1456457220284568,-5.489556474635e-05,1.9999999999980016,-8.548952188682042e-05,"<2,0.0000,0.0186,-0.0229,-0.0000,0.0400,-0.0000>"
3,1768258617491068,2026-01-12T22:56:57.491072,2.0744171965965414e-07,0.04186707204921509,-0.051554021470697556,-2.4702986875982254e-06,0.08999993711732372,-3.847025797005752e-06,1.3829434562551566e-06,0.2791135429171158,-0.3436931430838192,-1.6468641942492096e-05,0.5999989987741405,-2.5646813768911433e-05,4.6098192132885626e-06,0.9303800289221457,-1.1456457220264773,-5.4895564746258414e-05,1.9999999999945521,-8.548952188667206e-05,"<3,0.0000,0.0419,-0.0516,-0.0000,0.0900,-0.0000>"
4,1768258617541352,2026-01-12T22:56:57.541355,3.6878506356395723e-07,0.07443030674947455,-0.09165154008673874,-4.391639541084349e-06,0.1599997945689018,-6.839152969849203e-06,1.8439238602381018e-06,0.37215123956991664,-0.45825733819124054,-2.195818034795804e-05,0.7999983404632304,-3.4195737818259424e-05,4.6098192133466936e-06,0.9303800289340455,-1.145645722041082,-5.489556474696023e-05,2.0000000000201044,-8.548952188776298e-05,"<4,0.0000,0.0744,-0.0917,-0.0000,0.1600,-0.0000>"
5,1768258617591669,2026-01-12T22:56:57.591674,5.762263924339239e-07,0.11629729992728408,-0.14320546443724286,-6.8619335750032e-06,0.24999956213958197,-1.0686171519624207e-05,2.3049032351082226e-06,0.46518872852129245,-0.5728212775405397,-2.7447706498338236e-05,0.9999972356650384,-4.2744642782615304e-05,4.609819213485511e-06,0.9303800289621328,-1.1456457220757108,-5.4895564748611586e-05,2.0000000000803877,-8.548952189034369e-05,"<5,0.0000,0.1163,-0.1432,-0.0000,0.2500,-0.0000>"
6,1768258617641968,2026-01-12T22:56:57.642000,8.297657838082932e-07,0.16746806723195462,-0.20621581379236362,-9.881181712716996e-06,0.3599992734700498,-1.5388082884293825e-05,2.7658841048675057e-06,0.5582265191797326,-0.687385588404055,-3.2937250450454477e-05,1.1999967794342177,-5.129357546982839e-05,4.609819213384896e-06,0.9303800289413755,-1.1456457220504166,-5.489556474740369e-05,2.000000000036407,-8.548952188846056e-05,"<6,0.0000,0.1675,-0.2062,-0.0000,0.3600,-0.0000>"
7,1768258617692325,2026-01-12T22:56:57.692331,1.1294032033447598e-06,0.2279426017323261,-0.280682579617251,-1.3449383545263867e-05,0.48999891366067283,-2.094488642697684e-05,3.226864342233272e-06,0.6512641822049038,-0.8019497421032892,-3.842678687177666e-05,1.3999960488353635,-5.984249642924551e-05,4.609819213491729e-06,0.9303800289630831,-1.1456457220770029,-5.489556474868415e-05,2.000000000082847,-8.548952189044726e-05,"<7,0.0000,0.2279,-0.2807,-0.0000,0.4900,-0.0000>"
8,1768258617742629,2026-01-12T22:56:57.742634,1.4751386305129873e-06,0.2977208992848488,-0.366605756809646,-1.756653882816039e-05,0.6399984738042316,-2.7356581766936265e-05,3.687844183502106e-06,0.7443017652875292,-0.9165137973633575,-4.3916318576218626e-05,1.5999951463872781,-6.839141004300838e-05,4.609819213434886e-06,0.9303800289514743,-1.1456457220627103,-5.489556474799977e-05,2.000000000057992,-8.548952188939662e-05,"<8,0.0000,0.2977,-0.3666,-0.0000,0.6400,-0.0000>"
9,1768258617792972,2026-01-12T22:56:57.792978,1.8669721071394528e-06,0.376802968331181,-0.4639853557643867,-2.2232648059492924e-05,0.8099979720474146,-3.462316967984798e-05,4.148824866776245e-06,0.8373395183084745,-1.0310780618810431,-4.940586030759541e-05,1.7999946092486723,-7.694033927183763e-05,4.609819213550429e-06,0.9303800289749928,-1.1456457220915819,-5.4895564749374085e-05,2.0000000001081495,-8.548952189153207e-05,"<9,0.0000,0.3768,-0.4640,-0.0000,0.8100,-0.0000>"
10,1768258617843249,2026-01-12T22:56:57.843254,2.3049036360813383e-06,0.4651888094479757,-0.5728213771915484,-2.7447711273285932e-05,0.9999974096298287,-4.274465021869869e-05,4.609805703130958e-06,0.9303773022250151,-1.1456423644427556,-5.4895403861916784e-05,1.9999941385250648,-8.54892713395598e-05,4.609819213676843e-06,0.93038002900059,-1.1456457221235297,-5.489556475088363e-05,2.0000000001642544,-8.548952189386244e-05,"<10,0.0000,0.4652,-0.5728,-0.0000,1.0000,-0.0000>"
11,1768258617893569,2026-01-12T22:56:57.893574,2.7601992595446958e-06,0.5570791712445671,-0.6859727740564372,-3.286955304627185e-05,1.1975303723758204,-5.118814948972798e-05,4.342890082799944e-06,0.8765068680336947,-1.0793077156364002,-5.171686625778871e-05,1.8841910634019063,-8.053929657690397e-05,-4.609819214131505e-06,-0.9303800290922084,1.1456457222358003,5.489556475629279e-05,-2.000000000360145,8.548952190230899e-05,"<11,0.0000,0.5571,-0.6860,-0.0000,1.1975,-0.0001>"
12,1768258617943885,2026-01-12T22:56:57.943891,3.1714391717582594e-06,0.640077957903328,-0.7881753170099475,-3.776676184831958e-05,1.3759494787160427,-5.88146315379852e-05,3.881908161471029e-06,0.7834688651414677,-0.9647431434337309,-4.622730978316229e-05,1.6841910634024135,-7.199034438823525e-05,-4.6098192128001955e-06,-0.9303800288236002,1.1456457219053096,5.489556474045172e-05,-1.999999999782735,8.548952187761244e-05,"<12,0.0000,0.6401,-0.7882,-0.0000,1.3759,-0.0001>"
13,1768258617994198,2026-01-12T22:56:57.994202,3.536580891838813e-06,0.7137729442728427,-0.8789214027431613,-4.2115015002903236e-05,1.5343685850562647,-6.558621836737334e-05,3.42092624014109e-06,0.6904308622490354,-0.8501785712308073,-4.0737753308523545e-05,1.4841910634024782,-6.344139219954743e-05,-4.609819212621402e-06,-0.9303800287875462,1.145645721860803,5.4895564738312025e-05,-1.9999999997054032,8.548952187430395e-05,"<13,0.0000,0.7138,-0.8789,-0.0000,1.5344,-0.0001>"
14,1768258618044528,2026-01-12T22:56:58.044534,3.855624419786356e-06,0.7781641303531105,-0.9582110312560788,-4.5914312510022825e-05,1.6727876913964859,-7.150290997789243e-05,2.959944318810383e-06,0.5973928593564474,-0.7356139990276954,-3.5248196833875607e-05,1.2841910634022142,-5.4892440010845436e-05,-4.609819213299973e-06,-0.9303800289244452,1.145645722029388,5.489556474639889e-05,-1.999999999999509,8.548952188688597e-05,"<14,0.0000,0.7782,-0.9582,-0.0000,1.6728,-0.0001>"
15,1768258618094844,2026-01-12T22:56:58.094849,4.128569755600892e-06,0.8332515161441323,-1.0260442025487004,-4.916465436967836e-05,1.7912067977367072,-7.656470636954247e-05,2.4989623974801834e-06,0.5043548564639617,-0.6210494268247044,-2.975864035923358e-05,1.0841910634021596,-4.634348782215283e-05,-4.609819213440057e-06,-0.9303800289527115,1.1456457220643,5.489556474806513e-05,-2.000000000060392,8.548952188948866e-05,"<15,0.0000,0.8333,-1.0260,-0.0000,1.7912,-0.0001>"
16,1768258618145180,2026-01-12T22:56:58.145185,4.35541689928242e-06,0.879035101645908,-1.0824209166210264,-5.186604058186986e-05,1.889625904076929,-8.077160754232346e-05,2.0379804761504908e-06,0.4113168535715784,-0.506484854621842,-2.426908388459785e-05,0.8841910634023302,-3.779453563346963e-05,-4.609819213008409e-06,-0.9303800288656555,1.1456457219569463,5.48955647429249e-05,-1.9999999998732005,8.548952188148271e-05,"<16,0.0000,0.8790,-1.0824,-0.0001,1.8896,-0.0001>"
17,1768258618195498,2026-01-12T22:56:58.195503,4.536165850830938e-06,0.9155148868584376,-1.127341173473056,-5.4018471146597326e-05,1.9680450104171512,-8.412361349623543e-05,1.576998554820423e-06,0.31827885067912015,-0.39192028241888627,-1.8779527409957566e-05,0.6841910634023428,-2.9245583444779508e-05,-4.609819212987065e-06,-0.9303800288612808,1.145645721951581,5.489556474266866e-05,-1.999999999863749,8.548952188108415e-05,"<17,0.0000,0.9155,-1.1273,-0.0001,1.9680,-0.0001>"
18,1768258618245783,2026-01-12T22:56:58.245787,4.670816610246449e-06,0.942690871781721,-1.1608049731047898,-5.562194606386071e-05,2.026464116757373,-8.662072423127835e-05,1.1160166334901384e-06,0.2252408477866166,-0.2773557102158769,-1.3289970935314557e-05,0.48419106340225204,-2.06966312560853e-05,-4.609819213213229e-06,-0.9303800289069538,1.1456457220078309,5.489556474536358e-05,-1.9999999999620093,8.54895218852811e-05,"<18,0.0000,0.9427,-1.1608,-0.0001,2.0265,-0.0001>"
19,1768258618296063,2026-01-12T22:56:58.296068,4.759369177528951e-06,0.9605630564157579,-1.1828123155162278,-5.667646533366006e-05,2.064883223097595,-8.82629397474522e-05,6.55034712159896e-07,0.13220284489412182,-0.16279113801287787,-7.800414460672176e-06,0.28419106340218314,-1.2147679067391842e-05,-4.6098192133837885e-06,-0.9303800289413441,1.1456457220501945,5.4895564747392814e-05,-2.0000000000360267,8.548952188844344e-05,"<19,0.0000,0.9606,-1.1828,-0.0001,2.0649,-0.0001>"
20,1768258618346430,2026-01-12T22:56:58.346437,4.801823552678444e-06,0.9691314407605486,-1.1933632007073696,-5.7182028955995346e-05,2.0833023294378172,-8.9050260044757e-05,1.9405279082994703e-07,0.039164842001687156,-0.04822656580995175,-2.310857986033288e-06,0.08419106340224342,-3.5987268787039384e-06,-4.609819213273334e-06,-0.9303800289190644,1.1456457220227636,5.4895564746077616e-05,-1.9999999999880473,8.548952188639384e-05,"<20,0.0000,0.9691,-1.1934,-0.0001,2.0833,-0.0001>"
21,1768258618396719,2026-01-12T22:56:58.396722,4.80590793038248e-06,0.969955773184574,-1.1943782621723138,-5.7230667353799256e-05,2.0850743632270166,-8.912600520546007e-05,-3.3942103324017265e-22,-6.850389052404845e-17,8.435390558842124e-17,4.041960962973578e-21,-1.4726001933474046e-16,6.294594322991658e-21,-4.609819212515611e-06,-0.9303800287661399,1.1456457218344496,5.4895564737054154e-05,-1.9999999996593072,8.548952187234197e-05,"<21,0.0000,0.9700,-1.1944,-0.0001,2.0851,-0.0001>"
